date,actual,svr,mlp,lr
2016-11-28,4.29,4.1828619226,4.27731593824,4.35073688805
2016-11-29,4.3,4.1637715562,4.31202690784,4.35711514583
2016-11-30,4.25,4.18817802263,4.38488803289,4.39794950414
2016-12-01,4.23,4.1639418401,4.34750138956,4.37201089626
2016-12-02,4.51,4.12275922009,4.27343383807,4.32353151674
2016-12-05,4.57,4.26756476161,4.57560363302,4.51143300723
2016-12-06,4.7,4.40998838548,4.71660390123,4.63097476736
2016-12-07,4.58,4.41886442822,4.84232236669,4.68728529398
2016-12-08,4.62,4.37238640402,4.71549913913,4.61450754305
2016-12-09,4.63,4.43639706622,4.73949637943,4.6517816256
2016-12-12,4.74,4.50410161406,4.67125846254,4.65208691608
2016-12-13,4.7,4.54103568939,4.79736798037,4.72050397822
2016-12-14,4.72,4.52571108881,4.72208745573,4.68252442698
2016-12-15,4.88,4.52088840419,4.76860872628,4.69991085973
2016-12-16,4.89,4.7068434703,4.968010922,4.86238580099
2016-12-19,4.9,4.73022352382,4.94446402642,4.86249847242
2016-12-20,4.76,4.71545955554,4.9134728813,4.84326419514
2016-12-21,4.72,4.68447950348,4.76026970129,4.76606022991
2016-12-22,4.88,4.63818407416,4.70654454305,4.72390475675
2016-12-23,4.91,4.79327204525,4.82892048848,4.84105489262
2016-12-27,4.8,4.82067150254,4.88678509425,4.87689683842
2016-12-28,4.83,4.70687304425,4.74924415105,4.77098511844
2016-12-29,4.81,4.72642104012,4.81712829028,4.80767175957
2016-12-30,4.77,4.77714045076,4.8039322494,4.82374683157
2017-01-03,4.84,4.72827310027,4.68256042501,4.7522299524
2017-01-04,4.9,4.75910126308,4.76355760973,4.79919746954
2017-01-05,4.92,4.81054849372,4.87380338567,4.86716339634
2017-01-06,4.83,4.84615253823,4.91921981666,4.90129613242
2017-01-09,4.84,4.74771741298,4.81932540917,4.81765481714
2017-01-10,4.78,4.78020852325,4.82341773791,4.83319493348
2017-01-11,4.7,4.74074787336,4.73155267628,4.77801170686
2017-01-12,4.75,4.67201034515,4.65616619926,4.71725223235
2017-01-13,4.74,4.73823498835,4.72158780658,4.77277818418
2017-01-17,4.69,4.71266816013,4.72177660597,4.76197434545
2017-01-18,4.74,4.65275948941,4.66033740263,4.71080091524
2017-01-19,4.76,4.69186108131,4.72361072236,4.75388404061
2017-01-20,4.68,4.7334877817,4.76954641446,4.7907973465
2017-01-23,4.67,4.65717523309,4.65810907617,4.71174939046
2017-01-24,4.62,4.60902133399,4.64087361156,4.68405032572
2017-01-25,4.72,4.58516919654,4.58717986841,4.65146115066
2017-01-26,4.64,4.70948901838,4.69251092791,4.74839224334
2017-01-27,4.54,4.56337356984,4.58828707143,4.64264631632
2017-01-30,4.52,4.50790030728,4.50359745056,4.58364549951
2017-01-31,4.57,4.46999344283,4.45031812483,4.54524698205
2017-02-01,4.82,4.53493816278,4.5289577173,4.60575135437
2017-02-02,4.83,4.7858813554,4.82143009274,4.83477906912
2017-02-03,4.75,4.72295028286,4.8481346912,4.81915065126
2017-02-06,4.86,4.63905640622,4.79561395922,4.76149436912
2017-02-07,4.88,4.7600550316,4.91450518141,4.86267797897
2017-02-08,4.89,4.80802168583,4.94079349711,4.89408014043
2017-02-09,4.88,4.80426438921,4.87292904636,4.86412316679
