date,actual,svr,mlp,lr
2016-11-28,740.340027,778.630326254,773.740661783,783.978526218
2016-11-29,759.359985,777.119611386,755.353672935,777.522134048
2016-11-30,764.719971,756.823997405,748.648867169,764.772592691
2016-12-01,770.419983,748.867867302,739.916584073,757.895327349
2016-12-02,767.330017,735.953144837,738.482182303,750.654347721
2016-12-05,768.659973,752.468465444,744.91645647,761.330345526
2016-12-06,760.119995,746.349907039,751.641952155,760.17970401
2016-12-07,774.340027,748.977891774,752.486793048,761.823398974
2016-12-08,768.820007,752.939522939,761.133668501,766.571342065
2016-12-09,761.0,772.186936028,774.891953359,780.940667777
2016-12-12,757.77002,773.188861027,769.565894699,779.82836237
2016-12-13,766.0,798.685019963,789.570140726,799.41055379
2016-12-14,771.219971,792.344303501,775.357556246,791.696484377
2016-12-15,770.599976,784.03375177,772.402452029,786.411314459
2016-12-16,766.340027,775.748435839,757.194488347,777.366991167
2016-12-19,760.590027,773.543712652,761.238574312,777.451349693
2016-12-20,771.400024,766.754965608,752.133708124,771.073977274
2016-12-21,772.130005,758.506256958,754.196672606,767.366341483
2016-12-22,765.150024,756.766895989,757.49143607,767.465001057
2016-12-23,749.869995,755.111616524,756.475135308,766.280627207
2016-12-27,753.669983,774.702614206,761.233524391,778.059934255
2016-12-28,757.179993,777.97510449,769.989981018,782.47879606
2016-12-29,780.450012,779.954449152,768.664674573,783.112844392
2016-12-30,795.98999,767.360971652,763.632488887,774.933299775
2017-01-03,796.919983,775.086338086,761.340693247,778.294952888
2017-01-04,795.900024,773.791092739,756.270632997,776.052048946
2017-01-05,799.02002,783.632219617,766.790057237,784.471958048
2017-01-06,813.640015,790.950508201,778.822377896,792.029435538
2017-01-09,817.140015,789.680193669,787.439965585,794.013842818
2017-01-10,809.719971,790.661332892,786.304232245,794.180721434
2017-01-11,807.47998,798.226207514,791.263347818,799.690306504
2017-01-12,809.039978,810.017384252,795.746277044,807.27834884
2017-01-13,808.330017,816.023162681,803.065219569,812.693648937
2017-01-17,817.880005,814.59284902,807.739238071,813.379664289
2017-01-18,822.440002,814.308790232,810.51520238,814.084783308
2017-01-19,836.52002,814.399904315,798.810009672,810.528930524
2017-01-20,839.150024,805.899445136,799.213880932,806.17794736
2017-01-23,835.77002,807.60066559,801.206473036,807.687091157
2017-01-24,830.380005,811.067822109,814.04108465,813.46403305
2017-01-25,823.47998,824.490685881,828.679779602,825.037908502
2017-01-26,832.349976,823.647763491,829.498216513,824.846108405
2017-01-27,839.950012,824.04340778,835.952426374,827.041544997
2017-01-30,810.200012,825.339194682,832.147256136,826.55220697
2017-01-31,807.640015,826.030280995,833.552257544,827.348625779
2017-02-01,812.5,836.701374858,841.655945798,835.461733965
2017-02-02,819.710022,843.217608317,845.713856218,840.141764476
2017-02-03,821.359985,812.067228141,821.317201541,816.230389262
2017-02-06,827.460022,801.942876308,814.085939804,808.673734975
2017-02-07,836.530029,804.162994486,805.507489661,807.201430779
2017-02-08,836.390015,810.29254459,817.585510045,814.147130498
2017-02-09,842.700012,807.157595555,815.052509812,811.71677408
