date,actual,svr,mlp,lr
2016-11-28,110.519997,111.602028655,111.921584468,111.259609661
2016-11-29,109.489998,110.925017809,111.708587248,109.982203177
2016-11-30,109.900002,111.522113219,111.142360963,112.012409806
2016-12-01,109.110001,110.567727081,109.786378797,111.476671011
2016-12-02,109.949997,110.005352596,109.773696214,110.218751437
2016-12-05,111.029999,109.538854499,108.717951665,110.427741525
2016-12-06,112.120003,109.880757092,108.493954408,111.470156289
2016-12-07,113.949997,110.233494324,109.80765141,110.694536819
2016-12-08,113.300003,111.620237941,111.481530495,111.82813261
2016-12-09,115.190002,113.893425615,113.057699978,115.085563185
2016-12-12,115.190002,113.050301006,113.015934246,113.226924107
2016-12-13,115.82,115.871458873,115.200990849,116.995255715
2016-12-14,115.970001,115.591298484,116.144799618,115.230090999
2016-12-15,116.639999,116.037089985,116.438325072,115.887563674
2016-12-16,116.949997,116.478443048,117.466656782,115.654497453
2016-12-19,117.059998,116.682373673,117.631059732,115.919162468
2016-12-20,116.290001,117.231811893,117.879206636,116.865648466
2016-12-21,116.519997,117.309196036,117.728580376,117.22132237
2016-12-22,117.260002,116.278675547,116.0183945,116.93765799
2016-12-23,116.760002,116.448382061,116.102737067,117.220779039
2016-12-27,116.730003,116.696354206,116.221851509,117.639413825
2016-12-28,115.82,116.698962055,115.871749223,118.064832107
2016-12-29,116.150002,116.33743866,115.534790015,117.650172616
2016-12-30,116.019997,115.59915664,114.861808132,116.785241546
2017-01-03,116.610001,116.081751642,115.100007683,117.592325831
2017-01-04,117.910004,115.937634202,115.070302154,117.301664398
2017-01-05,118.989998,116.731732829,115.867025605,118.144679495
2017-01-06,119.110001,117.834170651,117.105580034,119.156290484
2017-01-09,119.75,118.750833217,118.272196781,119.833539316
2017-01-10,119.25,118.907664686,118.121828755,120.368758524
2017-01-11,119.040001,119.770015374,119.475200047,120.699273805
2017-01-12,120.0,118.855929184,118.545820943,119.743584374
2017-01-13,119.989998,119.008313264,118.537572281,120.098439118
2017-01-17,119.779999,119.326934839,118.612051327,120.730496691
2017-01-18,120.0,119.757775247,118.845503869,121.426105869
2017-01-19,120.080002,119.459489635,118.140914112,121.595123601
2017-01-20,119.970001,119.773979352,118.76214163,121.562678981
2017-01-23,121.879997,119.926791281,119.328276041,121.230240388
2017-01-24,121.940002,119.695000456,119.205886775,120.852161358
2017-01-25,121.949997,121.244039304,121.254434183,121.904213785
2017-01-26,121.629997,121.309923026,121.264095682,122.041785895
2017-01-27,121.349998,121.510005706,120.730375918,123.13427437
2017-01-30,128.75,120.899518864,119.987801264,122.642039477
2017-01-31,128.529999,121.128481861,119.453444314,123.800671413
2017-02-01,129.080002,128.540504329,128.518960107,129.717311934
2017-02-02,130.289993,128.19258882,128.230353952,129.275518627
2017-02-03,131.529999,129.467645361,128.015071844,132.4199863
2017-02-06,132.039993,129.756685724,128.794635191,132.140200885
2017-02-07,132.419998,130.674544351,130.240359052,132.485713694
2017-02-08,132.119995,131.480536331,131.045604988,133.345441065
2017-02-09,133.289993,131.252627893,130.887639237,133.018781055
