date,actual,svr,mlp,lr
2016-11-28,109.900002,111.397399651,112.671145587,111.351437406
2016-11-29,109.110001,111.525251358,112.60489926,111.784198996
2016-11-30,109.949997,111.076501056,111.969723475,111.708276431
2016-12-01,111.029999,110.196775676,110.212422478,112.411112399
2016-12-02,112.120003,109.136860517,109.233111776,111.365449072
2016-12-05,113.949997,108.027944208,108.692098342,109.467228903
2016-12-06,113.300003,108.400089234,108.097402922,111.39522798
2016-12-07,115.190002,109.41198936,109.172440001,112.160542329
2016-12-08,115.190002,110.918570961,110.624727836,113.546618213
2016-12-09,115.82,113.324506693,112.309669643,116.814980826
2016-12-12,115.970001,112.708096314,112.019330552,115.742538536
2016-12-13,116.639999,115.605418747,114.180705223,119.458402572
2016-12-14,116.949997,115.702210119,116.199920542,116.344523268
2016-12-15,117.059998,115.986215007,117.009329619,115.715005826
2016-12-16,116.290001,116.7490168,118.14924708,115.74390663
2016-12-19,116.519997,117.111952457,118.517417753,116.047354316
2016-12-20,117.260002,117.104169238,118.05069459,116.80390987
2016-12-21,116.760002,116.80445361,117.641910278,116.727519271
2016-12-22,116.730003,115.278200745,115.246592835,116.860135077
2016-12-23,115.82,115.173277057,115.407890297,116.32714756
2016-12-27,116.150002,115.429145951,115.282549388,117.181194412
2016-12-28,116.019997,115.505088558,114.756832388,118.247113866
2016-12-29,116.610001,115.704331872,114.568169047,119.0635955
2016-12-30,117.910004,115.300143235,113.978541231,119.02435926
2017-01-03,118.989998,115.743496526,114.681299561,118.974269773
2017-01-04,119.110001,115.498037116,114.374743289,118.864763339
2017-01-05,119.75,116.313882158,115.334955684,119.3263626
2017-01-06,119.25,117.638659737,116.652067053,120.478527446
2017-01-09,119.040001,118.871291563,118.266891172,120.903077122
2017-01-10,120.0,118.901258539,118.247896523,121.010277797
2017-01-11,119.989998,119.694146882,119.747626978,120.51669694
2017-01-12,119.779999,118.934026095,118.260218161,121.072463549
2017-01-13,120.0,118.820971011,118.068376964,121.106253978
2017-01-17,120.080002,119.228745851,117.890283847,122.431313235
2017-01-18,119.970001,119.535720971,117.703363902,123.516719158
2017-01-19,121.879997,119.442872462,116.910874282,124.600414864
2017-01-20,121.940002,119.594476137,117.750196372,123.587081622
2017-01-23,121.949997,119.098036158,118.485020203,121.112424028
2017-01-24,121.629997,118.737399671,118.241295719,120.607814637
2017-01-25,121.349998,120.357937883,119.596424056,122.443003479
2017-01-26,128.75,120.389701293,119.354077257,122.926187332
2017-01-27,128.529999,120.997367827,118.977657233,125.085435382
2017-01-30,129.080002,120.898017308,118.91786902,124.934191006
2017-01-31,130.289993,121.004163544,118.849623938,125.315510476
2017-02-01,131.529999,128.816753494,127.263234024,131.03542772
2017-02-02,132.039993,129.164276359,126.41319063,133.325963183
2017-02-03,132.419998,129.505959277,126.089090101,134.727083204
2017-02-06,132.119995,130.466447391,127.70366237,134.465391882
2017-02-07,133.289993,130.91387648,128.76669315,133.826427556
2017-02-08,135.020004,130.573088983,127.994635044,134.250556544
2017-02-09,135.509995,130.735039338,127.122205893,136.110093537
