date,actual,svr,mlp,lr
2016-11-28,111.459999,111.335052935,111.701208897,111.687909417
2016-11-29,110.519997,110.673806899,111.202908953,111.059438725
2016-11-30,109.489998,110.64266095,110.528033562,110.777973889
2016-12-01,109.900002,109.759831529,109.534668935,109.812050407
2016-12-02,109.110001,109.938665081,109.731612712,110.006061081
2016-12-05,109.949997,109.552357412,109.399730806,109.623137901
2016-12-06,111.029999,110.270958338,109.836683541,110.265689663
2016-12-07,112.120003,110.950244314,110.691995023,111.044086807
2016-12-08,113.949997,112.021457917,111.859196441,112.20138125
2016-12-09,113.300003,113.980958077,113.565899002,114.152711489
2016-12-12,115.190002,113.383091086,113.180895476,113.609817371
2016-12-13,115.190002,115.425791856,114.857401278,115.604306915
2016-12-14,115.82,115.351265079,115.224938312,115.697295365
2016-12-15,115.970001,115.713398062,115.725829923,116.129632668
2016-12-16,116.639999,116.176103523,115.822994591,116.472154706
2016-12-19,116.949997,116.443535015,116.591152581,116.945414773
2016-12-20,117.059998,116.80627385,116.784443616,117.259218973
2016-12-21,116.290001,117.155632724,116.953271818,117.554746441
2016-12-22,116.519997,116.343592715,116.342760085,116.783506276
2016-12-23,117.260002,116.573760258,116.440456147,116.972975783
2016-12-27,116.760002,117.303761418,117.285922034,117.780990859
2016-12-28,116.730003,117.007570393,117.00059339,117.475460169
2016-12-29,115.82,116.82061772,116.753803295,117.256825596
2016-12-30,116.150002,115.906246772,116.032753973,116.37540365
2017-01-03,116.019997,116.017784581,116.189691593,116.509593738
2017-01-04,116.610001,115.919565119,116.23320367,116.461684316
2017-01-05,117.910004,116.581550663,116.770357685,117.105665147
2017-01-06,118.989998,117.874301355,117.787420668,118.350916942
2017-01-09,119.110001,118.927628041,118.765583239,119.423331683
2017-01-10,119.75,118.976542351,118.765894403,119.455689785
2017-01-11,119.25,119.63501454,119.289847503,120.092251005
2017-01-12,119.040001,118.935140447,118.863605679,119.466182801
2017-01-13,120.0,118.958370139,118.825849652,119.466894517
2017-01-17,119.989998,119.668196127,119.621685582,120.242423606
2017-01-18,119.779999,119.872642134,119.964310982,120.509641749
2017-01-19,120.0,119.591130264,119.510756582,120.148741858
2017-01-20,120.080002,120.072004266,119.717657811,120.545667331
2017-01-23,119.970001,119.963022756,119.989582325,120.578979658
2017-01-24,121.879997,119.849392439,119.917406178,120.476183115
2017-01-25,121.940002,121.732605884,121.548787456,122.348112681
2017-01-26,121.949997,121.694336315,121.949882997,122.477972297
2017-01-27,121.629997,121.920663632,121.727317912,122.541083285
2017-01-30,121.349998,121.442276918,121.200104222,122.021949708
2017-01-31,128.75,121.218705054,121.082658405,121.829191037
2017-02-01,128.529999,128.548635877,127.418030099,129.109647566
2017-02-02,129.080002,127.850089233,128.239545018,128.966893854
2017-02-03,130.289993,129.203006955,127.972570744,129.75533242
2017-02-06,131.529999,130.418884461,128.558686256,130.783295732
2017-02-07,132.039993,130.625339628,130.336559524,131.606770271
2017-02-08,132.419998,131.369334461,130.82791762,132.287093903
2017-02-09,132.119995,131.884050668,131.434154828,132.860725132
