Date,Open,High,Low,Close,Volume,Adj Close
1/2/2015,111.389999,111.440002,107.349998,109.330002,53204600,104.704758
1/5/2015,108.290001,108.650002,105.410004,106.25,64285500,101.755057
1/6/2015,106.540001,107.43,104.629997,106.260002,65797100,101.764636
1/7/2015,107.199997,108.199997,106.699997,107.75,40105900,103.191599
1/8/2015,109.230003,112.150002,108.699997,111.889999,59364500,107.156454
1/9/2015,112.669998,113.25,110.209999,112.010002,53699500,107.27138
1/12/2015,112.599998,112.629997,108.800003,109.25,49650800,104.62814
1/13/2015,111.43,112.800003,108.910004,110.220001,67091900,105.557105
1/14/2015,109.040001,110.489998,108.5,109.800003,48337000,105.154875
1/15/2015,110,110.059998,106.660004,106.82,60014000,102.300942
1/16/2015,107.029999,107.580002,105.199997,105.989998,78513300,101.506054
1/20/2015,107.839996,108.970001,106.5,108.720001,49899900,104.120563
1/21/2015,108.949997,111.059998,108.269997,109.550003,48575900,104.915452
1/22/2015,110.260002,112.470001,109.720001,112.400002,53796400,107.64488
1/23/2015,112.300003,113.75,111.529999,112.980003,46464800,108.200345
1/26/2015,113.739998,114.360001,112.800003,113.099998,55615000,108.315263
1/27/2015,112.419998,112.480003,109.029999,109.139999,95568700,104.522793
1/28/2015,117.629997,118.120003,115.309998,115.309998,146477100,110.431768
1/29/2015,116.32,119.190002,115.559998,118.900002,84436400,113.869895
1/30/2015,118.400002,120,116.849998,117.160004,83745500,112.203509
2/2/2015,118.050003,119.169998,116.080002,118.629997,62739100,113.611314
2/3/2015,118.5,119.089996,117.610001,118.650002,51915700,113.630472
2/4/2015,118.5,120.510002,118.309998,119.559998,70149700,114.50197
2/5/2015,120.019997,120.230003,119.25,119.940002,42246200,115.319223
2/6/2015,120.019997,120.25,118.449997,118.93,43706600,114.348132
2/9/2015,118.550003,119.839996,118.43,119.720001,38889800,115.107697
2/10/2015,120.169998,122.150002,120.160004,122.019997,62008500,117.319084
2/11/2015,122.769997,124.919998,122.5,124.879997,73561800,120.0689
2/12/2015,126.059998,127.480003,125.57,126.459999,74474500,121.588031
2/13/2015,127.279999,127.279999,125.650002,127.080002,54272200,122.184148
2/17/2015,127.489998,128.880005,126.919998,127.830002,63152400,122.905254
2/18/2015,127.629997,128.779999,127.449997,128.720001,44891700,123.760965
2/19/2015,128.479996,129.029999,128.330002,128.449997,37362400,123.501363
2/20/2015,128.619995,129.5,128.050003,129.5,48948400,124.510914
2/23/2015,130.020004,133,129.660004,133,70974100,127.876074
