date,actual,svr,mlp,lr
2016-11-28,768.23999,768.322425798,767.420823031,768.262638055
2016-11-29,770.840027,770.996939757,773.403478836,770.796331078
2016-11-30,758.039978,758.152877353,761.144366083,757.761377076
2016-12-01,747.919983,748.20914584,751.47030115,747.679503732
2016-12-02,750.5,750.409023499,752.162180517,749.986190995
2016-12-05,762.52002,762.385680938,766.303589011,761.998169553
2016-12-06,759.109985,758.815977697,763.217725144,758.358499368
2016-12-07,771.190002,770.783731941,770.249418335,770.735287513
2016-12-08,776.419983,776.463709666,775.105370241,776.529445212
2016-12-09,789.289978,789.262946062,789.731924528,789.39202013
2016-12-12,789.27002,789.017678218,787.358962649,789.255708009
2016-12-13,796.099976,796.293533574,795.520126654,796.575647127
2016-12-14,797.070007,796.991831964,795.55102418,797.317785025
2016-12-15,797.849976,798.017735244,798.684283438,798.245533633
2016-12-16,790.799988,791.08895175,791.031129843,791.268519864
2016-12-19,794.200012,794.231110149,792.858509344,794.519060996
2016-12-20,796.419983,796.319563347,796.176653484,796.568808702
2016-12-21,794.559998,794.478100208,796.739980763,794.577791659
2016-12-22,791.26001,791.371775109,792.245855531,791.505808323
2016-12-23,789.909973,789.994149253,790.153692804,790.148627782
2016-12-27,791.549988,791.378758199,791.514364607,791.551755576
2016-12-28,785.049988,785.06976929,786.245680541,785.109360232
2016-12-29,782.789978,782.932948841,783.42319946,782.982001804
2016-12-30,771.820007,772.422214888,774.180285651,772.273510523
2017-01-03,786.140015,786.012510253,785.24197361,786.166323297
2017-01-04,786.900024,786.586260829,785.295000003,786.77463911
2017-01-05,794.02002,793.533688909,792.585817911,793.79058665
2017-01-06,806.150024,805.2560467,798.883120282,805.944662773
2017-01-09,806.650024,806.798353786,805.069639042,807.261698676
2017-01-10,804.789978,804.393178445,801.597081961,804.882736194
2017-01-11,807.909973,807.324113785,801.756042071,807.996135853
2017-01-12,806.359985,805.943797251,802.960367127,806.462545146
2017-01-13,807.880005,807.308824995,805.431596493,807.786351271
2017-01-17,804.609985,804.508796281,803.577251948,804.901635423
2017-01-18,806.070007,805.809780543,805.00953499,806.211923752
2017-01-19,802.174988,802.033770466,802.47514567,802.323481627
2017-01-20,805.02002,804.54592855,805.718331076,804.828467805
2017-01-23,819.309998,817.508298659,815.758360581,818.106256619
2017-01-24,823.869995,822.467443693,822.726091952,823.021473228
2017-01-25,835.669983,833.587760662,831.821570645,834.386999146
2017-01-26,832.150024,830.854110102,829.089700142,831.619180865
2017-01-27,823.309998,823.23655168,823.237870032,823.813715069
2017-01-30,802.320007,803.029266289,803.450678025,803.332436942
2017-01-31,796.789978,797.470501697,800.09072481,797.588627379
2017-02-01,795.695007,795.849820695,799.175063949,795.910629214
2017-02-02,798.530029,798.547308198,804.621994287,798.496994966
2017-02-03,801.48999,801.274163836,805.209812437,801.370449999
2017-02-06,801.340027,800.899191302,803.315094377,801.070810887
2017-02-07,806.969971,806.158695154,806.333715069,806.513844406
2017-02-08,808.380005,807.365801983,806.65080575,807.782852493
2017-02-09,809.559998,808.593086435,807.945132004,809.021905191
