date,actual,svr,mlp,lr
2016-11-28,770.840027,766.118546549,764.224292556,768.356922148
2016-11-29,758.039978,769.551352266,772.481277675,772.841668472
2016-11-30,747.919983,758.683325097,758.553999292,761.052850421
2016-12-01,750.5,748.742971005,750.353552224,751.1655822
2016-12-02,762.52002,752.660368218,751.910341515,754.731622466
2016-12-05,759.109985,765.825474523,767.984027208,768.854848787
2016-12-06,771.190002,761.731609785,763.895221552,764.642477706
2016-12-07,776.419983,769.677990797,768.504202635,772.162406847
2016-12-08,789.289978,775.516370043,774.86534987,778.274348552
2016-12-09,789.27002,788.275751344,787.455803701,791.372863562
2016-12-12,796.099976,790.414979756,790.374972381,793.728408114
2016-12-13,797.070007,796.764852645,793.944392821,799.715102107
2016-12-14,797.849976,794.616570151,795.053888662,798.146816301
2016-12-15,790.799988,791.831464296,794.854942301,795.790617932
2016-12-16,794.200012,786.309269292,790.79418604,790.395542401
2016-12-19,796.419983,788.364411346,790.06805365,791.961975471
2016-12-20,794.559998,791.398662741,796.293513348,795.714374225
2016-12-21,791.26001,790.274380644,793.449815935,794.218060029
2016-12-22,789.909973,788.777293686,791.91219019,792.669273802
2016-12-23,791.549988,787.944354177,788.736847317,791.349901254
2016-12-27,785.049988,789.417655301,791.925840417,793.204688171
2016-12-28,782.789978,785.146430059,786.454637883,788.572044887
2016-12-29,771.820007,782.078305753,784.418953625,785.618042517
2016-12-30,786.140015,773.770428219,774.409087323,776.731873802
2017-01-03,786.900024,783.492025063,786.144213743,787.134491856
2017-01-04,794.02002,786.394639436,789.536804462,790.218501214
2017-01-05,806.150024,787.744983278,791.934731654,791.814934473
2017-01-06,806.650024,801.378734246,802.449517739,805.231347893
2017-01-09,804.789978,802.091819563,803.459365048,806.023795338
2017-01-10,807.909973,800.077282322,801.613552896,803.983738291
2017-01-11,806.359985,800.885035962,803.224088586,804.973447173
2017-01-12,807.880005,798.271873738,804.254577831,803.002837866
2017-01-13,804.609985,801.004003111,803.203179359,805.068291738
2017-01-17,806.070007,797.142901932,803.910867161,801.995829558
2017-01-18,802.174988,798.954408219,802.976963741,803.318590402
2017-01-19,805.02002,797.315492803,801.274345949,801.619265784
2017-01-20,819.309998,799.986173869,805.071734353,804.590188259
2017-01-23,823.869995,813.797574934,818.273052693,818.684399791
2017-01-24,835.669983,819.058519675,822.387461928,823.872724234
2017-01-25,832.150024,828.402593612,831.159400026,833.376688753
2017-01-26,823.309998,825.752230514,828.670533247,830.680819272
2017-01-27,802.320007,815.865902128,820.131156186,820.771629968
2017-01-30,796.789978,798.272324906,803.257939986,802.806592532
2017-01-31,795.695007,791.805281929,800.478687347,796.87831134
2017-02-01,798.530029,794.596676624,801.901492186,799.48118909
2017-02-02,801.48999,796.237229259,803.356298959,801.132986583
2017-02-03,801.340027,801.087423116,805.849281363,805.659722924
2017-02-06,806.969971,800.515015827,801.644677797,804.354032362
2017-02-07,808.380005,806.623647207,807.885499664,810.667060481
2017-02-08,809.559998,809.951574341,810.176038287,813.887473357
2017-02-09,813.669983,809.329178722,811.418185706,813.614753763
