date,actual,svr,mlp,lr
2016-11-28,758.039978,762.771080286,763.505326041,770.804159132
2016-11-29,747.919983,771.115092724,767.392766081,776.805900399
2016-11-30,750.5,754.439757703,757.186380875,763.898931309
2016-12-01,762.52002,747.396643068,750.948830623,757.726055721
2016-12-02,759.109985,754.844494622,760.437777611,765.336834281
2016-12-05,771.190002,767.543490437,767.495006235,774.898203567
2016-12-06,776.419983,753.483326977,754.282898223,762.290705002
2016-12-07,789.289978,763.998442822,763.248499869,771.376723672
2016-12-08,789.27002,773.297608086,771.608230217,779.573385649
2016-12-09,796.099976,789.082832852,784.214873159,792.894081661
2016-12-12,797.070007,782.837633751,784.436672493,789.574448312
2016-12-13,797.849976,795.202395596,793.706820319,799.782269127
2016-12-14,790.799988,794.538615651,792.524816249,798.978046261
2016-12-15,794.200012,790.365041415,793.019489281,796.889300852
2016-12-16,796.419983,778.769682908,784.264209382,787.293463373
2016-12-19,794.559998,783.074341872,791.96107108,792.52069236
2016-12-20,791.26001,789.982484594,794.664623265,797.296834502
2016-12-21,789.909973,786.67304383,789.903354664,793.710987815
2016-12-22,791.549988,781.665002444,784.444717749,788.938555741
2016-12-23,785.049988,782.06890525,787.577428832,790.331566141
2016-12-27,782.789978,787.367984163,789.452778543,793.920920045
2016-12-28,771.820007,780.348079894,782.987534409,787.67543775
2016-12-29,786.140015,781.571968682,782.513235248,788.16468371
2016-12-30,786.900024,775.684073861,776.275070461,782.620996289
2017-01-03,794.02002,794.121488301,792.444893685,798.720851111
2017-01-04,806.150024,789.751070972,786.223078706,794.010078696
2017-01-05,806.650024,796.359648551,788.801052154,798.575984609
2017-01-06,804.789978,805.722820651,791.366454267,804.638016642
2017-01-09,807.909973,804.545441445,794.200053991,805.057477157
2017-01-10,806.359985,799.978991451,792.900709123,802.082960944
2017-01-11,807.880005,798.923704963,794.178319252,801.986351988
2017-01-12,804.609985,799.150304202,796.535883835,802.992529822
2017-01-13,806.070007,800.149224474,798.55508253,804.292814134
2017-01-17,802.174988,795.465159341,797.805993638,801.460241681
2017-01-18,805.02002,796.29485294,800.980153398,803.100762147
2017-01-19,819.309998,792.279402057,797.397412693,799.571510524
2017-01-20,823.869995,798.137001643,803.657059488,805.106734933
2017-01-23,835.669983,808.180560958,812.730805203,813.9763185
2017-01-24,832.150024,812.90286711,815.094711097,817.434343881
2017-01-25,823.309998,828.745902903,820.836404053,828.216173551
2017-01-26,802.320007,818.563749817,818.759235179,821.890725609
2017-01-27,796.789978,814.729141441,817.066882378,819.167801785
2017-01-30,795.695007,798.201364531,803.686536691,805.152839683
2017-01-31,798.530029,796.101165168,805.081252751,804.530759522
2017-02-01,801.48999,794.006903846,801.854177642,802.181430408
2017-02-02,801.340027,797.100350161,801.619689861,803.779089344
2017-02-03,806.969971,801.600526456,799.663474229,805.498554325
2017-02-06,808.380005,797.536123883,797.163320923,802.347972299
2017-02-07,809.559998,806.806074233,806.781268505,810.999816467
2017-02-08,813.669983,807.627714206,807.781969297,811.822165615
2017-02-09,819.23999,807.056426274,806.982201526,811.211453118
