date,actual,svr,mlp,lr
2016-11-28,162.220001,163.423940967,163.810523059,164.848949408
2016-11-29,159.820007,163.570371787,163.540385192,164.446908977
2016-11-30,160.020004,162.970885704,162.10089941,162.75026029
2016-12-01,159.839996,160.676724736,160.91166686,161.929668367
2016-12-02,160.350006,160.116891694,161.215230896,162.509144371
2016-12-05,164.789993,159.734185825,160.466058956,161.648973897
2016-12-06,165.360001,160.406116326,160.566594524,161.56394162
2016-12-07,166.520004,163.836011567,163.948202141,164.896635551
2016-12-08,165.5,165.416795466,165.36731604,166.249544272
2016-12-09,168.289993,167.144208264,165.605946325,166.004903031
2016-12-12,168.509995,165.88749205,164.631221314,165.130872399
2016-12-13,168.020004,168.283558827,167.516225221,168.145394526
2016-12-14,166.729996,167.671703161,167.295931381,168.053756997
2016-12-15,166.679993,168.748715997,167.665927448,168.191720669
2016-12-16,167.600006,168.041961949,167.209138399,167.820177923
2016-12-19,167.330002,166.88133481,167.071517778,168.014374337
2016-12-20,167.059998,167.128307048,167.47971295,168.47062775
2016-12-21,166.710007,166.460479465,166.5345647,167.445208299
2016-12-22,167.139999,167.041152004,166.825493831,167.639675571
2016-12-23,166.190002,166.459134697,166.418728169,167.293528773
2016-12-27,166.600006,166.925412704,166.128655477,166.761990328
2016-12-28,165.990005,165.847041508,166.016997869,166.963709696
2016-12-29,167.190002,166.18112366,166.30649601,167.235953773
2016-12-30,169.259995,166.024177264,166.645997562,167.732477874
2017-01-03,168.699997,166.962024675,167.33056005,168.328477617
2017-01-04,169.529999,169.024792718,169.142376664,170.041379644
2017-01-05,167.649994,169.761096774,169.280434652,169.984826413
2017-01-06,165.520004,169.772164877,169.322442969,170.036415465
2017-01-09,167.75,167.53408029,167.613905978,168.515770317
2017-01-10,167.949997,165.700627608,165.928302276,166.894532637
2017-01-11,167.339996,166.06040516,166.976526201,168.154817967
2017-01-12,167.889999,166.217730293,167.175535283,168.365331568
2017-01-13,166.800003,166.679677066,167.296470154,168.374918118
2017-01-17,166.809998,166.925436394,167.16174147,168.118607948
2017-01-18,170.550003,166.75674866,167.17330155,168.188279487
2017-01-19,171.029999,166.298800112,166.639462973,167.635185538
2017-01-20,175.899994,168.354948968,168.944162859,169.997468978
2017-01-23,178.289993,169.770961476,169.816488269,170.685573368
2017-01-24,178.660004,175.412322796,173.796820403,174.090130247
2017-01-25,177.300003,179.506406319,176.529058138,176.355533905
2017-01-26,175.800003,180.692212039,177.566703108,177.335095788
2017-01-27,174.520004,177.515746168,176.428829045,176.866957117
2017-01-30,174.289993,174.802888829,175.473427621,176.488678211
2017-01-31,174.580002,172.738714903,173.801815079,174.960343157
2017-02-01,175.820007,172.079868499,173.847593261,175.233284809
2017-02-02,175.860001,173.263900785,174.316816074,175.46698038
2017-02-03,178.460007,174.89850798,175.374362205,176.327699938
2017-02-06,176.169998,175.638597091,175.582653865,176.362153299
2017-02-07,177.210007,178.202746818,177.650773208,178.249665265
2017-02-08,178.679993,176.592153993,175.621477815,176.1051091
2017-02-09,179.360001,176.972648884,176.834008163,177.574465617
