date,actual,svr,mlp,lr
2016-11-28,164.520004,164.485505488,164.069054104,164.446716999
2016-11-29,163.529999,163.548585032,163.351320407,163.500448109
2016-11-30,162.220001,162.292894106,161.979646801,162.232763754
2016-12-01,159.820007,159.916607644,159.791459797,159.833247942
2016-12-02,160.020004,160.024145052,160.254781018,159.941360349
2016-12-05,159.839996,159.86215268,159.843702482,159.778126808
2016-12-06,160.350006,160.349788943,160.375426444,160.270421857
2016-12-07,164.789993,164.743340061,164.261105225,164.707131347
2016-12-08,165.360001,165.40724606,165.421473776,165.376809638
2016-12-09,166.520004,166.508616189,166.109205914,166.48937296
2016-12-12,165.5,165.557774819,164.159975868,165.530640206
2016-12-13,168.289993,168.302727635,167.953318879,168.300771694
2016-12-14,168.509995,168.496643245,167.547877158,168.497346377
2016-12-15,168.020004,168.063060818,167.945569334,168.058483642
2016-12-16,166.729996,166.793053325,165.691017629,166.777479691
2016-12-19,166.679993,166.76899807,166.71905475,166.75181641
2016-12-20,167.600006,167.58051389,167.291844455,167.571493293
2016-12-21,167.330002,167.305932301,167.082648361,167.294170473
2016-12-22,167.059998,167.097106339,166.691109763,167.083563599
2016-12-23,166.710007,166.776154611,166.256850992,166.759655747
2016-12-27,167.139999,167.19892998,167.067615847,167.186012996
2016-12-28,166.190002,166.213045252,165.735217687,166.191045771
2016-12-29,166.600006,166.603970241,166.191025658,166.58566697
2016-12-30,165.990005,166.027695164,165.554260917,166.003897233
2017-01-03,167.190002,167.245585693,167.125877528,167.233104791
2017-01-04,169.259995,169.21436551,168.674816915,169.221475499
2017-01-05,168.699997,168.671268796,168.355485521,168.67283343
2017-01-06,169.529999,169.507259925,168.765780766,169.517466767
2017-01-09,167.649994,167.794104845,167.155675795,167.787607329
2017-01-10,165.520004,165.636107677,165.586150931,165.607968713
2017-01-11,167.75,167.718964708,167.095387252,167.711721021
2017-01-12,167.949997,167.982981504,168.098987195,167.977324557
2017-01-13,167.339996,167.356187625,167.431406921,167.344521644
2017-01-17,167.889999,167.945257099,167.528472151,167.93993178
2017-01-18,166.800003,166.941080901,167.107020298,166.92528141
2017-01-19,166.809998,166.798640868,166.540915136,166.782017539
2017-01-20,170.550003,170.4665615,169.846678123,170.485887753
2017-01-23,171.029999,171.00902351,170.88280662,171.032951106
2017-01-24,175.899994,175.640765177,175.256109031,175.709828849
2017-01-25,178.289993,178.052430255,177.312036825,178.145284606
2017-01-26,178.660004,178.510463072,178.467164133,178.606836231
2017-01-27,177.300003,177.250085652,175.944921355,177.335918028
2017-01-30,175.800003,175.936595327,175.518928721,176.008563423
2017-01-31,174.520004,174.502537027,174.419801356,174.560197061
2017-02-01,174.289993,174.220290351,174.431984541,174.274835595
2017-02-02,174.580002,174.471539587,174.883807035,174.528252712
2017-02-03,175.820007,175.687365667,175.828076678,175.756193265
2017-02-06,175.860001,175.801001086,175.985436298,175.870870607
2017-02-07,178.460007,178.184395868,178.065909895,178.277713593
2017-02-08,176.169998,176.078552694,175.953671698,176.151511054
2017-02-09,177.210007,177.004851791,176.904618649,177.086737099
