date,actual,svr,mlp,lr
2016-11-28,163.529999,164.064419696,163.439575478,163.939666555
2016-11-29,162.220001,163.474280498,163.419978331,163.883427792
2016-11-30,159.820007,162.546253529,162.495928283,162.945555521
2016-12-01,160.020004,160.415999954,160.588995649,160.996391759
2016-12-02,159.839996,160.143077201,160.308376367,160.71214225
2016-12-05,160.350006,159.828657,160.262947463,160.648906653
2016-12-06,164.789993,160.115528337,160.441990294,160.837449189
2016-12-07,165.360001,163.600032666,164.021466329,164.463435106
2016-12-08,166.520004,165.069521657,165.169683711,165.648983813
2016-12-09,165.5,167.077271083,165.921593548,166.491954453
2016-12-12,168.289993,166.694284459,164.822695123,165.422536254
2016-12-13,168.509995,168.323025914,166.916996,167.517925446
2016-12-14,168.020004,168.2625554,167.377229819,167.951739086
2016-12-15,166.729996,167.8790217,167.621268502,168.159373537
2016-12-16,166.679993,167.706603401,166.904063372,167.46634969
2016-12-19,167.600006,167.303486732,166.700552221,167.247131683
2016-12-20,167.330002,167.484616658,167.63118208,168.143670276
2016-12-21,167.059998,166.52601514,167.101937445,167.579296372
2016-12-22,166.710007,166.854845701,167.229711496,167.721757603
2016-12-23,167.139999,167.103699854,166.664072509,167.199710679
2016-12-27,166.190002,167.254678905,167.135282501,167.65743545
2016-12-28,166.600006,166.375996644,166.152694063,166.667039312
2016-12-29,165.990005,166.226342957,166.395183622,166.888102987
2016-12-30,167.190002,165.864797016,166.09294593,166.577648205
2017-01-03,169.259995,167.09693506,167.019635688,167.537408128
2017-01-04,168.699997,168.540727369,168.7899077,169.312872284
2017-01-05,169.529999,168.865848978,168.53571598,169.091860734
2017-01-06,167.649994,169.71444491,169.059249754,169.643794458
2017-01-09,165.520004,168.188688425,167.627705488,168.185226264
2017-01-10,167.75,166.217040313,165.850297297,166.36934188
2017-01-11,167.949997,166.959927326,167.099398025,167.604529526
2017-01-12,167.339996,166.543820284,167.688702361,168.138424357
2017-01-13,167.889999,167.068025608,167.491250311,167.984055537
2017-01-17,166.800003,167.464144481,167.962449229,168.457389618
2017-01-18,166.809998,166.713784249,167.177982676,167.663577089
2017-01-19,170.550003,167.167043662,166.605024979,167.147594633
2017-01-20,171.029999,169.275072791,169.349968184,169.892261842
2017-01-23,175.899994,169.607137457,170.219616521,170.740426355
2017-01-24,178.289993,175.482274294,174.122041066,174.825851862
2017-01-25,178.660004,179.156478617,176.957309765,177.756209238
2017-01-26,177.300003,180.86383408,177.381357522,178.268253663
2017-01-27,175.800003,179.588530203,176.34538315,177.201817346
2017-01-30,174.520004,176.651632722,175.17000093,175.896935333
2017-01-31,174.289993,173.483320808,174.27209326,174.841176892
2017-02-01,174.580002,173.115006688,174.235975955,174.78336229
2017-02-02,175.820007,172.546227057,175.132175859,175.599376361
2017-02-03,175.860001,175.336711846,175.849304559,176.459145728
2017-02-06,178.460007,175.944505614,176.334497587,176.959275252
2017-02-07,176.169998,178.993159822,177.800786588,178.547920643
2017-02-08,177.210007,177.190932406,176.271511961,176.978798001
2017-02-09,178.679993,177.810851284,176.505570307,177.240879574
