date,actual,svr,mlp,lr
2016-11-28,159.820007,164.793925428,164.372383619,165.597617975
2016-11-29,160.020004,163.775020929,163.727767229,165.395091916
2016-11-30,159.839996,163.193163115,162.45187195,163.682376729
2016-12-01,160.350006,161.315590102,160.842095682,162.566892538
2016-12-02,164.789993,160.405999553,160.606226517,162.983535245
2016-12-05,165.360001,159.503361566,160.034559193,162.803050207
2016-12-06,166.520004,160.381585608,160.570855652,162.943627979
2016-12-07,165.5,164.605895984,164.100306352,165.290860257
2016-12-08,168.289993,166.149002175,165.203508323,165.820917853
2016-12-09,168.509995,166.484780071,165.414931317,165.885884727
2016-12-12,168.020004,165.767527374,164.666117349,165.224253167
2016-12-13,166.729996,167.831624088,167.670887489,168.623424096
2016-12-14,166.679993,167.865315126,167.622645259,168.507748722
2016-12-15,167.600006,168.573148006,168.007107173,168.536986256
2016-12-16,167.330002,168.037079726,167.105458005,167.440820131
2016-12-19,167.059998,167.125804652,166.753454734,167.654687677
2016-12-20,166.710007,166.525748413,166.983216867,168.607520741
2016-12-21,167.139999,166.725381999,166.561621138,167.683287074
2016-12-22,166.190002,167.060086091,166.995899122,168.141305505
2016-12-23,166.600006,167.234077875,166.656095851,167.384413133
2016-12-27,165.990005,166.917804748,166.389334283,167.204256288
2016-12-28,167.190002,166.067563949,166.097242394,167.467724593
2016-12-29,169.259995,166.004549057,166.393656703,168.046820078
2016-12-30,168.699997,166.322897034,166.582668185,168.088293872
2017-01-03,169.529999,167.172300452,167.262982479,168.508592624
2017-01-04,167.649994,169.602463285,169.022162477,169.381708975
2017-01-05,165.520004,169.823577186,168.939219273,169.03362952
2017-01-06,167.75,169.163251501,169.03227885,169.801063499
2017-01-09,167.949997,167.069355493,167.452860463,168.936764994
2017-01-10,167.339996,164.769203786,165.737096558,168.021165923
2017-01-11,167.889999,166.235882734,167.108879235,169.093613685
2017-01-12,166.800003,165.911957839,167.347255544,169.809143996
2017-01-13,166.809998,166.195902672,167.122767341,169.154599536
2017-01-17,170.550003,166.922863358,167.059148683,168.378038934
2017-01-18,171.029999,166.067299143,166.767981833,168.648001689
2017-01-19,175.899994,165.878331411,166.328117094,168.046912542
2017-01-20,178.289993,168.02872175,169.267799558,171.252679028
2017-01-23,178.660004,169.249307818,170.241398636,171.849595089
2017-01-24,177.300003,175.68877368,174.271121292,173.051715061
2017-01-25,175.800003,179.467851039,176.68887981,173.850203907
2017-01-26,174.520004,178.6808517,177.377143812,175.780597291
2017-01-27,174.289993,175.959156447,176.248421336,176.283186176
2017-01-30,174.580002,172.82487589,175.583573493,177.97908488
2017-01-31,175.820007,172.042686295,174.198016422,176.256597889
2017-02-01,175.860001,173.43297281,174.4004884,175.341715003
2017-02-02,178.460007,173.6830984,174.461148954,175.21975388
2017-02-03,176.169998,176.361294287,175.351672857,174.33787117
2017-02-06,177.210007,176.083527088,175.22014341,174.360424129
2017-02-07,178.679993,178.368178264,177.449818921,176.194321881
2017-02-08,179.360001,176.914549105,175.800036115,174.620856222
2017-02-09,180.130005,176.874260391,177.234307339,177.181010839
